,tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_R,Pre_L,r_pre,r_pre_reg,pinn_r
87,10.161844,135.48746,225.07791,6.351357,12.379098,3.1595206,50.5,121.82605,4.6407475,169.71085,164.79749,133.91667
88,14.619852,253.18532,117.222305,13.863786,17.482113,3.5033448,50.5,121.1752,4.6588707,108.38552,105.61606,120.2834
89,13.469211,212.85117,142.56786,11.0275345,16.189074,3.568094,50.5,122.09554,4.6628356,118.06796,118.39871,125.265175
90,25.78667,371.7638,153.2848,15.4144745,30.338024,7.1016297,50.5,122.0321,4.5433974,136.8928,130.38077,117.06576
91,11.800601,159.01585,206.5635,7.255164,14.279094,3.5849602,50.5,122.18815,4.647225,158.98595,155.99536,128.875
92,15.258057,259.86328,119.421295,13.909273,18.21331,3.7059016,50.5,120.40598,4.6519895,108.49016,103.80555,119.113686
93,14.001584,205.6828,162.39748,9.834966,16.80865,3.931574,50.5,120.6488,4.6542916,145.76338,138.70618,123.48712
94,19.264124,303.0661,132.67932,14.556658,22.82702,4.9794827,50.5,122.72933,4.643003,113.96959,110.10003,119.525505
95,10.542328,136.50752,232.7409,6.1806235,12.825491,3.3245459,50.5,120.73427,4.6308703,174.05963,169.86925,131.07607
96,19.436832,305.94788,134.32532,14.632112,23.018217,5.0176706,50.5,126.31876,4.6711693,116.27595,112.158424,123.020294
97,18.90692,299.72876,132.26036,14.487901,22.407837,4.8558044,50.5,123.98415,4.6583405,117.19516,112.74068,120.925316
98,11.863931,169.19998,185.63397,8.043929,14.334341,3.4594066,50.5,121.145615,4.6345844,154.46954,148.42743,128.05244
99,21.18557,325.31213,140.44014,14.970903,25.032019,5.5707674,50.5,129.63753,4.6715183,117.00939,116.03603,125.52701
100,12.515098,168.07253,203.12698,7.602218,15.114107,3.791472,50.5,124.27347,4.6760225,157.2739,154.60175,129.28781
101,21.989046,332.70135,141.70644,15.048848,25.967863,5.8506083,50.5,126.04132,4.6289434,115.40711,114.72415,121.72518
102,18.934166,289.91565,137.89186,13.785117,22.480896,5.027408,50.5,121.489815,4.644312,116.85075,114.31803,119.24724
103,27.664452,392.91162,159.45694,15.916857,32.51134,7.694721,50.5,126.47052,4.5768275,141.15639,134.46121,121.86178
104,20.789635,319.79272,138.00563,14.817944,24.582058,5.4640465,50.5,124.8883,4.6388206,115.8145,113.57804,121.02153
105,16.461317,266.79877,128.7619,13.641975,19.618605,4.1813526,50.5,123.43267,4.6801295,112.70685,109.13338,122.29965
106,10.821206,130.14122,273.14017,5.354787,13.142057,3.5501194,50.5,121.4491,4.6550326,238.79846,233.87471,130.56609
107,12.887304,186.61511,174.92531,8.914511,15.520673,3.6858068,50.5,123.9952,4.6755114,150.36859,142.32367,128.88838
108,24.668684,364.03967,151.81795,15.806993,29.05903,6.675992,50.5,137.45427,4.680915,137.64107,130.89752,132.24287
109,11.239415,178.45831,156.08994,9.500213,13.607172,3.0273566,50.5,126.16152,4.6774955,142.41348,135.76654,134.86432
110,11.357817,145.29994,229.99315,6.402589,13.777622,3.5816095,50.5,120.92619,4.6344056,174.65366,168.9825,128.28773
111,20.651278,317.04187,135.98676,14.774069,24.436377,5.4415874,50.5,120.82998,4.606607,114.64171,110.892395,117.11529
112,16.140736,263.16583,126.40963,13.647746,19.25845,4.084001,50.5,121.626945,4.6650043,111.89374,107.61319,120.5569
113,13.417944,185.9425,185.11995,8.530967,16.15297,3.953564,50.5,122.737465,4.6698503,153.00233,147.83682,126.32798
114,9.999851,128.27255,243.53772,5.8238316,12.192912,3.1901565,50.5,120.50432,4.634083,180.76892,176.57114,133.11272
115,12.536464,187.60307,162.53983,9.32535,15.116315,3.5041914,50.5,120.286446,4.6325097,142.0585,135.4661,125.45347
