tCu,wCu,tLam,nLam,aln,tsu,freq,Pre_R,Pre_L
15.2843503952026,231.7939453125,166.746841430664,11.714451789856,18.0714645385742,5.23031425476074,50.5,145.513442993164,4.04995441436768
13.7910242080688,204.171264648438,166.214736938477,10.5744342803955,16.1304798126221,1.14721751213074,50.5,144.519744873047,4.05030393600464
12.7746677398682,189.585296630859,152.459976196289,9.99026966094971,15.0956630706787,1.36232948303223,50.5,138.976272583008,3.99392747879028
13.0593366622925,192.679550170898,162.68913269043,9.93881034851074,15.2717361450195,0.495624512434006,50.5,143.560363769531,4.03238868713379
15.5364255905151,240.503814697266,160.511825561523,11.8963136672974,18.6130256652832,7.83974456787109,50.5,143.363922119141,4.02483463287354
12.3760576248169,184.227020263672,153.560241699219,9.51773071289063,14.635989189148,0.649296402931213,50.5,140.038146972656,4.00109767913818
14.8226222991943,223.341033935547,169.179107666016,11.3006706237793,17.454984664917,3.35441303253174,50.5,146.120742797852,4.06314182281494
13.6258811950684,204.437026977539,159.444320678711,10.4717855453491,16.1026077270508,2.22972655296326,50.5,141.651565551758,4.02540922164917
17.0832958221436,272.012054443359,150.611923217773,13.4195623397827,20.8702945709229,14.9575672149658,50.5,135.152008056641,3.98637795448303
14.439305305481,214.658172607422,172.154983520508,10.9042596817017,16.8469772338867,1.57220208644867,50.5,145.920837402344,4.07576084136963
13.46666431427,202.904846191406,156.936477661133,10.3675193786621,15.9756546020508,2.42856240272522,50.5,137.991424560547,4.01158237457275
14.027834892273,213.461380004883,155.850021362305,10.8990497589111,16.7400665283203,4.29325675964356,50.5,140.843719482422,4.00491619110107
12.2332563400269,183.158065795898,154.510528564453,9.2262659072876,14.4845628738403,0.481152653694153,50.5,140.405197143555,4.0068302154541
11.8926286697388,175.609375,152.208038330078,9.09415817260742,14.0147409439087,0.257671684026718,50.5,137.974456787109,3.99184393882751
13.3638582229614,202.196090698242,152.100143432617,10.362681388855,15.9300928115845,3.22463941574097,50.5,136.830200195313,3.99797058105469
13.6724452972412,208.723480224609,155.373947143555,10.4633588790894,16.3329658508301,3.59746098518372,50.5,138.67024230957,4.00660514831543
16.0708045959473,250.764694213867,162.577102661133,12.2488603591919,19.3087100982666,9.0969934463501,50.5,141.035049438477,4.03558492660523
11.810450553894,174.365966796875,153.774887084961,8.98501300811768,13.9068984985352,0.158220112323761,50.5,140.274200439453,4.00642919540405
15.4515943527222,240.138519287109,158.496520996094,11.9319219589233,18.5896034240723,8.1320686340332,50.5,139.789321899414,4.01824188232422
13.8363981246948,206.555603027344,164.872451782227,10.5607032775879,16.2584266662598,1.61897373199463,50.5,144.022644042969,4.04291439056397
13.7621593475342,206.972305297852,158.660293579102,10.6198720932007,16.29248046875,2.75580883026123,50.5,141.533386230469,4.01965141296387
13.6938323974609,205.424346923828,166.617919921875,10.1927642822266,16.0848846435547,1.20660877227783,50.5,143.362777709961,4.04644203186035
14.3995170593262,217.217529296875,161.916442871094,11.0728902816772,17.0292701721191,3.78535628318787,50.5,142.679046630859,4.03495025634766
18.4453220367432,291.410186767578,167.372406005859,14.2336559295654,22.2612285614014,14.8841829299927,50.5,146.012161254883,4.0529580116272
14.5823564529419,219.974258422852,167.136199951172,11.0685338973999,17.1902294158936,3.21005582809448,50.5,145.49089050293,4.0559229850769
15.4565582275391,240.495971679688,155.640365600586,11.9844074249268,18.6277008056641,8.77754783630371,50.5,141.223251342773,4.0072717666626
16.7004508972168,259.036468505859,167.918365478516,12.7895488739014,19.9604740142822,9.44372749328613,50.5,143.529937744141,4.0532398223877
14.8108234405518,228.554183959961,155.328231811523,11.4344425201416,17.776123046875,6.8844780921936,50.5,139.346099853516,4.0033278465271
10.4534463882446,147.776657104492,156.277053833008,7.83741140365601,12.0369939804077,0.00134816148784012,50.5,139.404235839844,4.00693225860596
15.9729404449463,248.17268371582,157.28076171875,12.4083967208862,19.209300994873,9.76543712615967,50.5,139.322662353516,4.01361894607544
15.3582668304443,232.209396362305,167.603744506836,11.8546314239502,18.1370182037354,5.13076448440552,50.5,144.818634033203,4.05297374725342
13.1891288757324,195.94091796875,165.986892700195,9.86436462402344,15.435450553894,0.439401298761368,50.5,144.814361572266,4.0483078956604
11.822850227356,173.822204589844,153.874588012695,8.98107147216797,13.8817682266235,0.14747978746891,50.5,139.258728027344,4.00448322296143
12.5240030288696,183.261901855469,162.898101806641,9.45590114593506,14.5822229385376,0.121532469987869,50.5,145.040252685547,4.03886699676514
12.2070827484131,178.701171875,156.14128112793,9.40576362609863,14.2948989868164,0.20809206366539,50.5,139.406768798828,4.00356197357178
11.0757646560669,154.801879882813,168.172729492188,8.11922645568848,12.5506429672241,0.000429816253017634,50.5,145.842239379883,4.06053161621094
11.2698774337769,162.65412902832,158.572982788086,8.4829683303833,13.0866365432739,0.00966999866068363,50.5,140.056625366211,4.02141761779785
16.4042663574219,259.450988769531,154.518325805664,12.6949596405029,19.930685043335,12.1015491485596,50.5,138.725372314453,4.00398826599121
12.5171461105347,187.963760375977,152.401947021484,9.55177402496338,14.8617744445801,1.13844752311707,50.5,141.066650390625,4.00030040740967
15.2023668289185,235.118133544922,156.397277832031,11.7452325820923,18.251766204834,7.7661566734314,50.5,141.934875488281,4.00810241699219
13.62806224823,205.139801025391,162.034973144531,10.3604583740234,16.1059246063232,1.85381245613098,50.5,142.851608276367,4.03030586242676
12.8423871994019,192.35237121582,155.81169128418,9.81563377380371,15.1989459991455,1.17873740196228,50.5,140.465850830078,4.00572347640991
15.8022232055664,243.743392944336,157.228988647461,12.4093837738037,18.9539432525635,9.05697631835938,50.5,139.639282226563,4.01381778717041
15.2713193893433,233.931228637695,163.432907104492,11.7027826309204,18.1801204681397,6.19348621368408,50.5,143.065170288086,4.0412130355835
15.7399654388428,243.612899780273,161.697006225586,12.012228012085,18.833553314209,8.13905811309815,50.5,142.266296386719,4.02622604370117
13.294713973999,199.670822143555,151.988784790039,10.4015874862671,15.7994823455811,2.87231040000916,50.5,138.317657470703,3.99448347091675
16.0044250488281,249.92546081543,153.213409423828,12.6103391647339,19.3582992553711,10.8266334533691,50.5,137.365417480469,3.99438285827637
13.8916387557983,210.208389282227,156.028091430664,10.7319393157959,16.5123653411865,3.77443909645081,50.5,141.133758544922,4.00739145278931
9.73003387451172,134.60417175293,153.72346496582,7.30053520202637,11.116602897644,0.000259753258433193,50.5,139.029846191406,4.00560760498047
12.4647598266602,182.782180786133,161.374328613281,9.40618705749512,14.5386238098145,0.149704501032829,50.5,142.103454589844,4.02780389785767
17.5134544372559,274.363189697266,162.072830200195,13.6764087677002,21.1070556640625,13.1435165405273,50.5,143.571563720703,4.03029346466064
15.1150579452515,229.86994934082,164.859893798828,11.5925979614258,17.9174156188965,5.26395845413208,50.5,144.754760742188,4.04182386398315
15.1604862213135,230.373321533203,167.651824951172,11.5472440719605,17.9345970153809,4.7898383140564,50.5,145.434799194336,4.05399703979492
12.4997138977051,179.65885925293,167.713958740234,9.42537498474121,14.3797578811646,0.0285666771233082,50.5,145.168762207031,4.05495452880859
8.78,126.39,166.98,6.19,10.75,2.33,50.5,,
