,tCu,wCu,tLam,nLam,aln,tsu,freq,tabpfn,pinn,ParaPFN,para_L,inter_R
0,18.0,251.0,104.0,13.0,13.0,4.0,75.25,82.8248,200.65387,80.93689,3.2963142,202.90306
1,21.0,298.0,151.0,11.0,20.0,5.0,75.25,106.589195,200.0995,106.51916,3.4832273,191.43175
2,22.0,300.0,78.0,18.0,15.0,6.0,75.25,42.09919,199.66765,42.728462,3.135844,179.64288
3,22.0,296.0,166.0,9.0,14.0,5.0,75.25,149.90413,198.90695,147.54832,3.7394106,201.92786
4,22.0,300.0,164.0,10.0,19.0,6.0,75.25,137.8798,199.09169,131.39964,3.6392188,188.32643
